N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;9.4e-05;7.2e-05;9.6e-05
100;4;0.000153;9.9e-05;0.000104
100;8;0.00022;0.000264;0.000175
100;16;0.00042;0.000327;0.000319
1024;2;9.2e-05;7.6e-05;8.3e-05
1024;4;0.000187;0.000205;0.000112
1024;8;0.000268;0.00022;0.000213
1024;16;0.000498;0.000422;0.000385
10000;2;0.000209;0.000154;0.000164
10000;4;0.000279;0.000289;0.000284
10000;8;0.000459;0.000538;0.000532
10000;16;0.000813;0.001105;0.001122
100489;2;0.000555;0.000564;0.000775
100489;4;0.000723;0.00122;0.001294
100489;8;0.001015;0.002778;0.002286
100489;16;0.00155;0.004872;0.004571
1000000;2;0.005407;0.004378;0.00436
1000000;4;0.004463;0.010002;0.010022
1000000;8;0.006977;0.021217;0.020527
1000000;16;0.01225;0.048112;0.043974

