N;K;time_single;time_rm_stacked;time_cm_stacked
100;3;9.7e-05;8.3e-05;9.4e-05
100;5;0.000144;0.00012;0.000121
100;9;0.000263;0.000194;0.000196
100;15;0.000399;0.000303;0.000304
1024;3;0.000118;0.000101;9.5e-05
1024;5;0.000166;0.000152;0.000141
1024;9;0.000283;0.000248;0.000237
1024;15;0.000469;0.000384;0.000361
10000;3;0.000189;0.000209;0.000206
10000;5;0.000165;0.000243;0.000234
10000;9;0.000161;0.000324;0.00032
10000;15;0.000145;0.000475;0.00038
100489;3;0.00044;0.000797;0.000785
100489;5;0.000612;0.00136;0.001319
100489;9;0.000864;0.002654;0.002361
100489;15;0.001253;0.004743;0.004189
1000000;3;0.003707;0.007014;0.006755
1000000;5;0.004821;0.013097;0.012009
1000000;9;0.007568;0.025309;0.022618
1000000;15;0.011475;0.049381;0.040541
